no,student id,last name,first name,gender,date of birth,social id
1,23120100,Pham Minh,Trung,male,5/5/2005,928216
2,23120101,Dinh Quang,Trung,male,5/6/2005,724339
3,23120102,Truong Dinh,Tu,female,5/7/2005,526447
4,23120103,Huynh Thu,Tu,female,5/8/2005,688912
5,23120104,Truong Le Thao,Uyen,male,5/9/2005,309924
6,23120105,Huynh Cong,Van,male,5/10/2005,713714
7,23120106,Nguyen Ngoc Bao,Van,male,5/11/2005,857295
8,23120107,Nguyen Duc,Viet,male,5/12/2005,670914
9,23120108,Nguyen Phu,Vinh,male,5/13/2005,670053
10,23120109,Mai Thai,Vinh,male,5/14/2005,305507
11,23120110,Vo Minh,Vu,male,5/15/2005,871983
12,23120111,Nguyen Dinh,Vuong,male,5/16/2005,491675
13,23120112,Nguyen Vo Minh,Vuong,male,5/17/2005,652364
14,23120113,Pham Thi Thuy,Vy,male,5/18/2005,177999
15,23120114,Vo Minh,Chau,male,5/19/2005,241864
16,23120115,Nguyen Thi,Hoi,male,5/20/2005,756914
17,23120116,Dang Quang,Vinh,male,5/21/2005,478854
