No, Student ID, Last name, First name, Gender, Date of Birth, Social ID
1,23120001,Du male,Phong,male,2/9/2005,468555
2,23120002,Le Ngoc,Phung,male,2/10/2005,526398
3,23120003,Nguyen Van,Phung,male,2/11/2005,768454
4,23120004,Nguyen Ngoc,Phuoc,male,2/12/2005,350961
5,23120005,Nguyen Thanh,Pin,male,2/13/2005,434350
6,23120006,Luong Minh,Quang,male,2/14/2005,395217
7,23120007,Do Tung Xuan,Quyen,male,2/15/2005,737448
8,23120008,Dao Van,Quyet,male,2/16/2005,186511
9,23120009,Tran Phuong Giang,Sang,male,2/17/2005,563540
10,23120010,Ho Tuan,Sang,male,2/18/2005,489253
11,23120011,Nguyen Hoang,Son,male,2/19/2005,820621
12,23120012,Chau Chi,Tai,male,2/20/2005,599442
13,23120013,Do Trong,Tai,male,2/21/2005,664694
14,23120014,Nguyen Van,Tam,male,2/22/2005,317795
15,23120015,Mai Thanh,Tan,male,2/23/2005,653546
16,23120016,Nguyen Duy,Thanh,male,4/10/2005,840272
17,23120017,Bach Xuan,Thang,female,4/11/2005,951131
18,23120018,Ngo Ngoc,Thien,female,4/12/2005,825997
19,23120019,Truong Tich,Thien,female,4/13/2005,124855
20,23120020,Tran Van,Thinh,female,4/14/2005,565282
21,23120021,Trinh Van,Thinh,female,4/15/2005,926676
22,23120022,Dinh Thanh,Thuan,female,4/16/2005,996188
23,23120023,Bui Van,Thuong,female,4/17/2005,530819
24,23120024,Dang Van,Thuong,female,4/18/2005,892045
25,23120025,Dang Van,Tien,female,4/19/2005,501700
26,23120026,Tran Cong,Toan,female,4/20/2005,956190
27,23120027,Dang Minh,Triet,female,4/21/2005,916343
28,23120028,Vu Le,Trinh,female,4/22/2005,671870
29,23120029,Nguyen Anh,Truc,female,4/23/2005,365483
